indicateur,pays,annee,valeur
NCD_BMI_30A,MAR,2006,18.922445
NCD_BMI_30A,MAR,2008,20.083232
NCD_BMI_30A,MAR,1991,4.4373579
NCD_BMI_30A,MAR,1990,4.224021
NCD_BMI_30A,MAR,2022,30.167252
NCD_BMI_30A,MAR,1996,13.775697
NCD_BMI_30A,MAR,1994,12.967777
NCD_BMI_30A,MAR,2016,25.647643
NCD_BMI_30A,MAR,2000,15.6822
NCD_BMI_30A,MAR,1996,5.6424707
NCD_BMI_30A,MAR,1997,14.216928
NCD_BMI_30A,MAR,1997,5.9164792
NCD_BMI_30A,MAR,2000,11.314433
NCD_BMI_30A,MAR,2012,16.667043
NCD_BMI_30A,MAR,2002,7.4572861
NCD_BMI_30A,MAR,1998,14.68471
NCD_BMI_30A,MAR,1998,6.2029924
NCD_BMI_30A,MAR,2000,6.8116792
NCD_BMI_30A,MAR,2015,18.180078
NCD_BMI_30A,MAR,1994,5.1284172
NCD_BMI_30A,MAR,2017,26.409605
NCD_BMI_30A,MAR,1995,13.359541
NCD_BMI_30A,MAR,2011,10.281181
NCD_BMI_30A,MAR,1992,8.5223123
NCD_BMI_30A,MAR,2008,14.793803
NCD_BMI_30A,MAR,2022,13.317187
NCD_BMI_30A,MAR,2006,8.7634392
NCD_BMI_30A,MAR,1993,12.598892
NCD_BMI_30A,MAR,2009,20.69651
NCD_BMI_30A,MAR,2007,19.491319
NCD_BMI_30A,MAR,2016,11.699769
NCD_BMI_30A,MAR,2001,11.733619
NCD_BMI_30A,MAR,1998,10.51335
NCD_BMI_30A,MAR,2002,16.736823
NCD_BMI_30A,MAR,2011,21.995489
NCD_BMI_30A,MAR,2014,11.114524
NCD_BMI_30A,MAR,2013,10.835914
NCD_BMI_30A,MAR,2021,21.259411
NCD_BMI_30A,MAR,1991,8.2437046
NCD_BMI_30A,MAR,2019,27.910092
NCD_BMI_30A,MAR,1992,12.247048
NCD_BMI_30A,MAR,2017,11.98296
NCD_BMI_30A,MAR,2018,27.162358
NCD_BMI_30A,MAR,1994,9.1171928
NCD_BMI_30A,MAR,2021,29.413286
NCD_BMI_30A,MAR,2019,12.494665
NCD_BMI_30A,MAR,2003,17.275853
NCD_BMI_30A,MAR,2005,8.4435642
NCD_BMI_30A,MAR,1991,11.910598
NCD_BMI_30A,MAR,2008,9.3898602
NCD_BMI_30A,MAR,1995,5.3796519
NCD_BMI_30A,MAR,2007,9.0783484
NCD_BMI_30A,MAR,2017,19.233605
NCD_BMI_30A,MAR,1999,6.5019824
NCD_BMI_30A,MAR,2010,21.333595
NCD_BMI_30A,MAR,2005,18.368141
NCD_BMI_30A,MAR,2012,10.561299
NCD_BMI_30A,MAR,2022,21.784347
NCD_BMI_30A,MAR,2020,28.661156
NCD_BMI_30A,MAR,2004,8.1176028
NCD_BMI_30A,MAR,2005,13.472904
NCD_BMI_30A,MAR,2018,12.241007
NCD_BMI_30A,MAR,1997,10.136448
NCD_BMI_30A,MAR,2010,15.713571
NCD_BMI_30A,MAR,2018,19.736782
NCD_BMI_30A,MAR,2019,20.234507
NCD_BMI_30A,MAR,1993,8.8129818
NCD_BMI_30A,MAR,2015,11.401496
NCD_BMI_30A,MAR,2004,13.033816
NCD_BMI_30A,MAR,1995,9.4388895
NCD_BMI_30A,MAR,1999,10.907018
NCD_BMI_30A,MAR,2020,20.742339
NCD_BMI_30A,MAR,2015,24.877667
NCD_BMI_30A,MAR,2009,15.249795
NCD_BMI_30A,MAR,2009,9.6963853
NCD_BMI_30A,MAR,1990,11.586747
NCD_BMI_30A,MAR,2001,7.1304455
NCD_BMI_30A,MAR,2014,24.125034
NCD_BMI_30A,MAR,2016,18.712403
NCD_BMI_30A,MAR,2003,7.7866234
NCD_BMI_30A,MAR,1992,4.6589296
NCD_BMI_30A,MAR,2020,12.757395
NCD_BMI_30A,MAR,2002,12.162589
NCD_BMI_30A,MAR,1993,4.8887871
NCD_BMI_30A,MAR,1999,15.174752
NCD_BMI_30A,MAR,2013,17.158288
NCD_BMI_30A,MAR,1990,7.9754062
NCD_BMI_30A,MAR,1996,9.7786792
NCD_BMI_30A,MAR,2011,16.185528
NCD_BMI_30A,MAR,2004,17.819118
NCD_BMI_30A,MAR,2021,13.03076
NCD_BMI_30A,MAR,2003,12.595075
NCD_BMI_30A,MAR,2006,13.907145
NCD_BMI_30A,MAR,2013,23.39223
NCD_BMI_30A,MAR,2007,14.345661
NCD_BMI_30A,MAR,2010,9.9939831
NCD_BMI_30A,MAR,2001,16.203798
NCD_BMI_30A,MAR,2012,22.681777
NCD_BMI_30A,MAR,2014,17.66246
